To Author,Tweet_ID,Created_at,Tweet
100trillionUSD,1516193829640192010,2022-04-18 23:15:53+00:00,@100trillionUSD I can't see anybody. Or again all #Bitcoin      whales  swallow everybody ?
100trillionUSD,1516162482594889737,2022-04-18 21:11:19+00:00,@100trillionUSD So btc is going to 5m 😁
100trillionUSD,1516147431825674240,2022-04-18 20:11:31+00:00,"@100trillionUSD Let's talk about Bitcoin and cryptocurrency telegram link chat me up now 
https://t.co/A928wIzSzl"
100trillionUSD,1516115713341149186,2022-04-18 18:05:28+00:00,"@100trillionUSD If you would like a decentralised money without government influence, no way out of BitCoin and Ethereum. The possibly profit in Future is definitly the other side of the Hand. I belief on booth."
100trillionUSD,1516100485220032521,2022-04-18 17:04:58+00:00,@100trillionUSD An avalanche of monies is coming into Bitcoin
100trillionUSD,1516063906959142915,2022-04-18 14:39:37+00:00,"@100trillionUSD We don't  buy bitcoin
We earn bitcoin From Mining 
I'm ready to show 10 lucky people how to earn 0.1BTC and more daily!
No referral 
No withdrawal fees
If interested, kindly send a DM"
100trillionUSD,1516057218755739650,2022-04-18 14:13:02+00:00,"@100trillionUSD will bitcoin be like this? @100trillionUSD  brother,on TF 1D https://t.co/iEfahjrO9p"
100trillionUSD,1516048871415160837,2022-04-18 13:39:52+00:00,"@100trillionUSD Bitcoin never fails its staunch holder

good luck everyone"
100trillionUSD,1516046582541549575,2022-04-18 13:30:46+00:00,"@100trillionUSD #AirCash is another innovation in the underlying technology of blockchain! And was selected to binance chain hackathon, open the link to view the ranking!
https://t.co/rjE7JOmnQW
#AirCoin
@AirCoinreal 
#CryptoNews 
#Bitcoin 
#Ethereum"
100trillionUSD,1516026848622354437,2022-04-18 12:12:21+00:00,@100trillionUSD Definitely not the reason for the current shitty BTC price.
100trillionUSD,1516019534884487178,2022-04-18 11:43:18+00:00,"@100trillionUSD This project @MetagwaraToken  has been an amazing project that's about to take over the lead their Bitgert/#MGT partnership has been finalized successfully with great implications for the project. Consequently, #MGT has now migrated to bitgert chain .We are early guys hop in #btc"
100trillionUSD,1516017555789516800,2022-04-18 11:35:26+00:00,@100trillionUSD Sure plan b sucks. They predicted #btc over $100.000 last year. Everybody can predict these days. It's all just LUCK
100trillionUSD,1516013454968393730,2022-04-18 11:19:08+00:00,@100trillionUSD #bitcoin Last big wave coming soon for this cycle
100trillionUSD,1515999753120763908,2022-04-18 10:24:41+00:00,"@100trillionUSD BTC did not dump in the bear market of 2018. It was actually a green week. In addition, it takes a few business days for crypto withdrawals to hit our banks, so the dump would have been just last week. We have also had 4 red weeks, not just now. We are just retesting the bottom."
100trillionUSD,1515997461466259459,2022-04-18 10:15:35+00:00,"@100trillionUSD I mean seriously, what makes you think that exactly because that’s the deadline in US things will turn bullish. In most European countries we haven’t even started filling these forms.  BTC ain’t US only…"
100trillionUSD,1515996204852785156,2022-04-18 10:10:35+00:00,"@100trillionUSD Patince? :( 
Last years deadline was May 17.
$BTC dropped %30 after the deadline:/ https://t.co/Strz8utAwP"
100trillionUSD,1515988057073328132,2022-04-18 09:38:13+00:00,"@100trillionUSD Every time you tweeted about BTC ,, it will crashed ,, please be silent"
100trillionUSD,1515987819113881602,2022-04-18 09:37:16+00:00,"@100trillionUSD #Airdrops #Bitcoin #SHIB Get free 5.000.000 SHID
Trend DAO + Meme + Partner Terrible = to the moon

https://t.co/z2HDErl7rN"
