To Author,Tweet_ID,Created_at,Tweet
AltcoinDailyio,1516213704039276551,2022-04-19 00:34:51+00:00,"@AltcoinDailyio There is nothing surprising in #Bitcoin  at $40.8k there still a bullish momentum when 

it’s above $41.5k Eth is now under 3000 and will soon come at the weekly close.

@tezos165 tweets and predictions has been helping me out in this field &amp; I’ve added massively to my holdings"
AltcoinDailyio,1516213164119052296,2022-04-19 00:32:42+00:00,"@AltcoinDailyio There is nothing surprising in #Bitcoin  at $40.8k there still a bullish momentum when 

it’s above $41.5k Eth is now under 3000 and will soon come at the weekly close.

@tezos165 tweets and predictions has been helping me out in this field &amp; I’ve added massively to my holdings"
AltcoinDailyio,1516205137903210504,2022-04-19 00:00:49+00:00,"@AltcoinDailyio We don't  buy bitcoin
We earn bitcoin From Mining 
I'm ready to show 10 lucky people how to earn 0.1BTC ($4,000) and more daily!
No referral 
No withdrawal fees
If interested, kindly send a DM"
AltcoinDailyio,1516204969564971011,2022-04-19 00:00:09+00:00,"@AltcoinDailyio Great Opportunity to Get 1000x Earnings, BUY AND HOLD!
@CriptofanD
https://t.co/6p5IXrkYkn - BUY TOKEN!
https://t.co/0hILVrAslP - PROJECT WEBSITE!
https://t.co/qwRnp2O3EP - TG GLOBAL
https://t.co/bFkqKOoCd2 - TG PT/BR
#1000xgem  
#nftart 
#criptox
#CROx
#BNB 
#Bitcoin https://t.co/r6BsJIpf1N"
AltcoinDailyio,1516204841185558534,2022-04-18 23:59:38+00:00,"@AltcoinDailyio We don't  buy bitcoin
We earn bitcoin From Mining 
I'm ready to show 10 lucky people how to earn 0.1BTC ($4,000) and more daily!
No referral 
No withdrawal fees
If interested, kindly send a DM"
AltcoinDailyio,1516204529540337675,2022-04-18 23:58:24+00:00,"@AltcoinDailyio We don't  buy bitcoin
We earn bitcoin From Mining 
I'm ready to show 10 lucky people how to earn 0.1BTC ($4,000) and more daily!
No referral 
No withdrawal fees
If interested, kindly send a DM"
AltcoinDailyio,1516203558978260992,2022-04-18 23:54:32+00:00,"@AltcoinDailyio We don't  buy bitcoin
We earn bitcoin From Mining 
I'm ready to show 10 lucky people how to earn 0.1BTC ($4,000) and more daily!
No referral 
No withdrawal fees
If interested, kindly send a DM"
AltcoinDailyio,1516190721455316997,2022-04-18 23:03:32+00:00,"@AltcoinDailyio Hello are you a #bitcoin, #SHIb or @ETH holder's you can earn high profit with your coin without sending money to me or anyone..inbox the company account manager on  now WhatsApp
👇👇👇👇👇👇👇👇
+1360(218)3758
+1360(218)3758"
AltcoinDailyio,1516188239190761472,2022-04-18 22:53:40+00:00,"@AltcoinDailyio #Birdseason BABY!!!!🔥🔥🔥🔥
 $SQUAWK $CHIRP @squawkfinance
CEX Listing CONFIRMED ✅️
#SHIB #LEASH #CAW #QOM #moonbirds #BONE #BTC $BTC #ETH #1000Xgems #SQUAWKFLOCK #MOONBIRDS  #P2E #METAVERSE https://t.co/r1PnHkDds2 https://t.co/BvASQbw8dG"
AltcoinDailyio,1516186277854384129,2022-04-18 22:45:52+00:00,"@AltcoinDailyio BIRD Is a trend now 🐦
$SQUAWK AND $CHRIP  🐦 

HYPE IS REAL 🤩
CMC, CG DONE ✅
MEXC GLOBAL IS COMING ✅

INTRODUCING @SquawkFinance 🐦 
#SQUAWK #CHRIP #100xGems #BTC #BNB https://t.co/MeOCclD5VL"
AltcoinDailyio,1516184522827644933,2022-04-18 22:38:54+00:00,"@AltcoinDailyio What is your opinion about the current #Bitcoin state, since its Fear and Greed Index is 48 - NEUTRAL, with price of 40764.635190253945 usd? Our analytical team has done extended research regarding #BTC, but we want to hear your opinion also."
