To Author,Tweet_ID,Created_at,Tweet
BTC_JackSparrow,1516216383939526662,2022-04-19 00:45:30+00:00,"@BTC_JackSparrow Invest on your favorite coins today and start earning good profits... Cryptocurrency have influenced and made so many individuals, companies and countries millionaires today, don't be left out. Follow @CryptoSeanEld for trading tips and guide to invest and earn good profits."
BTC_JackSparrow,1516216305145327627,2022-04-19 00:45:11+00:00,"@BTC_JackSparrow Invest on your favorite coins today and start earning good profits... Cryptocurrency have influenced and made so many individuals, companies and countries millionaires today, don't be left out. Follow @CryptoSeanEld for trading tips and guide to invest and earn good profits."
BTC_JackSparrow,1516184810607230987,2022-04-18 22:40:02+00:00,@BTC_JackSparrow have you checked out #cronu #CRO  stealth launching today https://t.co/ECzMdFjPd2
BTC_JackSparrow,1516182133215277070,2022-04-18 22:29:24+00:00,@BTC_JackSparrow That trends you are seeing is a sign of bullish signal
BTC_JackSparrow,1516168835757445121,2022-04-18 21:36:34+00:00,"@BTC_JackSparrow There's room for you to hold some $OPEN

@OpenWorld has a 260 day bond program with profits up to 18%. A safe and high return investment! https://t.co/6KuFEilOzJ

#Metaverse #Blockchain #Defi #Gamefi #Investment"
BTC_JackSparrow,1516144045642317824,2022-04-18 19:58:03+00:00,@BTC_JackSparrow Did you like an Elon tweet ?
BTC_JackSparrow,1516134634836348933,2022-04-18 19:20:40+00:00,@BTC_JackSparrow whats this jack?
BTC_JackSparrow,1516128749342932993,2022-04-18 18:57:16+00:00,"@BTC_JackSparrow @warobusiness I used to see your posts daily, then I stopped seeing them and had to physically search your name to have you pop up in my feed again."
BTC_JackSparrow,1516124853509758988,2022-04-18 18:41:47+00:00,@BTC_JackSparrow And the squeeze is almost done... so fast.. thats how squeezes behaves! What you think now master? Good place to short here?
BTC_JackSparrow,1516116195656749059,2022-04-18 18:07:23+00:00,@BTC_JackSparrow Peaking.  May to Oct will be glorious.  Crash after.  IMO.
BTC_JackSparrow,1516108446029942785,2022-04-18 17:36:36+00:00,"@BTC_JackSparrow 👽BlueMars

🚀 FIRST CASHBACK WALLET🚀

✅CASHBACK
✅ REWARDS 
✅ AIRDROPS 
✅AUTO STAKING
✅BUSD PASSIVE INCOME
✅LIQUDITY AND TEAMS LOCKED

Fairlaunch : https://t.co/RUPR3H3dlS

TG https://t.co/D62eRHpt8H
Tw https://t.co/fPvJP7uVDh"
BTC_JackSparrow,1516093645564305416,2022-04-18 16:37:47+00:00,@BTC_JackSparrow cash + taxes + 8% infla = very bad long term
BTC_JackSparrow,1516091813798547462,2022-04-18 16:30:30+00:00,"@BTC_JackSparrow double top at orange and then, inflationary oblivion"
BTC_JackSparrow,1516091048962928641,2022-04-18 16:27:28+00:00,"@BTC_JackSparrow Thanks for your posts, Jack.  Possible for commodities and metals to go up together with USD?"
BTC_JackSparrow,1516088864665968652,2022-04-18 16:18:47+00:00,@BTC_JackSparrow Where to next
BTC_JackSparrow,1516082126952804356,2022-04-18 15:52:01+00:00,@BTC_JackSparrow these bros and their charts have never been right about anything. ever.
BTC_JackSparrow,1516076084135174149,2022-04-18 15:28:00+00:00,"@BTC_JackSparrow 📈📉 Free training on analysis and trading in the digital currency market 👉  @CCNnet
Follow us on virtual networks:
https://t.co/Bd8pflA74O
https://t.co/wO2cOvFQtI
https://t.co/Q6ZDMbn46r
https://t.co/lmB1pr9cQo
https://t.co/CbkAZi0F56
#CCN #crypto_currency_network #ccn_token"
BTC_JackSparrow,1516074167195607040,2022-04-18 15:20:23+00:00,"@BTC_JackSparrow We’re going bullish guys 🚀🚀. We’re are proud to announce to you that @eth_shiba is now live on @DigiFinex. What a great feat to achieve💯💯 Join us and earn massive eth rewards🔥🔥

Telegram: https://t.co/a6BEetHS57

#ETH #ETHSHIB #1000xgem https://t.co/DF6Oqi8WKG"
BTC_JackSparrow,1516070019226034191,2022-04-18 15:03:54+00:00,"@BTC_JackSparrow They're adjacent to alot of ""problematic"" people and have non mainstream views. Unsurprising tbh"
BTC_JackSparrow,1516065603970387974,2022-04-18 14:46:21+00:00,@BTC_JackSparrow Glory? Wouldn't this mean disaster?
BTC_JackSparrow,1516059622716719111,2022-04-18 14:22:35+00:00,@BTC_JackSparrow Waiting on major event to blame for the massive rug pull incoming on 90%+ nft’s.
BTC_JackSparrow,1516051234263912454,2022-04-18 13:49:15+00:00,@BTC_JackSparrow Have some more free squiglies: https://t.co/EPXtVQGUk5
BTC_JackSparrow,1516049066609848329,2022-04-18 13:40:38+00:00,"@BTC_JackSparrow #NFTsSuck 

#NFTSsSuckBigDonkeyBalls

#NFTsToZero 

It's as simple as that. You don't need to overthink this. https://t.co/gTlTBmnY14"
BTC_JackSparrow,1516046646282444804,2022-04-18 13:31:01+00:00,@BTC_JackSparrow We should have a better picture of the economic cycle of NFTs by the end of the year. I just don’t see how high end NFTs maintain artistic mindshare consistently over time. That would a counter trend phenomena. https://t.co/KDaLVmuHWj
BTC_JackSparrow,1516046591727177730,2022-04-18 13:30:48+00:00,@BTC_JackSparrow Because Elon hasn't bought it yet?
BTC_JackSparrow,1516039926499926019,2022-04-18 13:04:19+00:00,"@BTC_JackSparrow I wrote from everywhere because I was in a difficult situation, but you did not see why I am in a difficult situation, I have come to sleep on the street"
BTC_JackSparrow,1516037311846404102,2022-04-18 12:53:56+00:00,@BTC_JackSparrow 2019 10x Fractal also Still possible IMO https://t.co/b0sf8jhMcY
