To Author,Tweet_ID,Created_at,Tweet
CryptoTony__,1516197242583101451,2022-04-18 23:29:26+00:00,"@CryptoTony__ NEXT ROUND IMO WILL BE MORE EXPENSIVE SO DONT MISS OUT ON CURRENT IMO SALE.
 
Next IMO price: 0.00002BNB = 1$CYM. Double the price of Current IMO sale. 

https://t.co/yjkmYv8rgL
Tg~ https://t.co/wQX7rMsue6
Twt~ @Cylumfinance
#Cylumfinance #BSC #ETH #Cryptocurrency #NFT #Bitcoin https://t.co/PekLfjzoDJ"
CryptoTony__,1516197036139454470,2022-04-18 23:28:37+00:00,"@CryptoTony__ NEXT ROUND IMO WILL BE MORE EXPENSIVE SO DONT MISS OUT ON CURRENT IMO SALE.
 
Next IMO price: 0.00002BNB = 1$CYM. Double the price of Current IMO sale. 

https://t.co/yjkmYv8rgL
Tg~ https://t.co/wQX7rMsue6
Twt~ @Cylumfinance
#Cylumfinance #BSC #ETH #Cryptocurrency #NFT #Bitcoin https://t.co/iE6Dmm6mCK"
CryptoTony__,1516192829009240064,2022-04-18 23:11:54+00:00,"@CryptoTony__ $OKLG EVOLUTION in #meme &amp; #NFTs
8 working dapps
Stake to earn $BNB/ $ETH
11x from ATH. Do the math 🤑
Don't miss the next big thing in the crypto space.
@oklgio #OKLG #BTC #Blockchain #Altcoins
https://t.co/8VwDeMoKDb"
CryptoTony__,1516190698906791940,2022-04-18 23:03:26+00:00,"@CryptoTony__ $KIBA , $PYR , $ETH &amp; $BTC 

But I only hold 1 of these atm 

And that is Kiba Inu💎 https://t.co/z6LEWk6W9g"
CryptoTony__,1516189321090506755,2022-04-18 22:57:58+00:00,"@CryptoTony__ I hope to see a new wave on $CVP, #ETH, and #BTC"
CryptoTony__,1516186661901770757,2022-04-18 22:47:24+00:00,"@CryptoTony__ Good night!

We hope to see huge rewards from #btc and $YLA"
CryptoTony__,1516180338363584515,2022-04-18 22:22:16+00:00,"@CryptoTony__ , Bitcoin, is coming in strong
Do you know what?
XEC
Come on
eCash
This is their site
https://t.co/cwFjOX0ZIK
Seize the opportunity to all go to the moon"
CryptoTony__,1516175921778110468,2022-04-18 22:04:43+00:00,"@CryptoTony__ Phemex Universe is still ongoing for becoming the next citizens on Phemex and win some trading bonuses when you play mini game👫? 🤩

Visit the universe 👇
https://t.co/UXON3wkpIq

Haven't registered yet? 
https://t.co/aRnpHijbG5

#PhemexUniverse #BTC #ETH #SAND #DOGE #Giveaway https://t.co/oQECkY17Fp"
CryptoTony__,1516165293709668361,2022-04-18 21:22:29+00:00,@CryptoTony__ Thank for my btc bonus. Musk love https://t.co/n3Aejyoe9M
CryptoTony__,1516161338204164109,2022-04-18 21:06:46+00:00,"@CryptoTony__ Volt V2 is live! MOONTIME
⚡️Deflationary(Burns from investment roi) 🔥
⚡️Community Driven
⚡️8 CEXs 🚀30K+holders, several T1 CEX this WEEK
⚡️P2E released  🎮
⚡️#Eth &amp; #BSC
⚡️Press: @YahooFinance @Nasdaq @Forbes 
⚡️@VoltInuOfficial 
#DeFi #VOLTARMY #BTC #VOLTINU #gems #altcoin https://t.co/g8xc71qiS6"
