To Author,Tweet_ID,Created_at,Tweet
Nebraskangooner,1516208431455105025,2022-04-19 00:13:54+00:00,"@Nebraskangooner When we strip out the fake outs and the noise and zoom out, we're still on track for 90K #Bitcoin before year's end. https://t.co/aWIUu94Mfr"
Nebraskangooner,1516200030822150146,2022-04-18 23:40:31+00:00,@Nebraskangooner Crypto influencers are even more bulish on bitcoin than this candle is
Nebraskangooner,1516179405105733636,2022-04-18 22:18:34+00:00,@Nebraskangooner Bitcoin anyone https://t.co/smDRd9Rr1R
Nebraskangooner,1516170472697872389,2022-04-18 21:43:04+00:00,@Nebraskangooner @SmartContracter Damn - TGX 4h buy has BTC hitting the 0.786 at around 39k which validates this theory.
Nebraskangooner,1516165074997727241,2022-04-18 21:21:37+00:00,@Nebraskangooner @SmartContracter Thank for my btc bonus. Musk love https://t.co/P385FdcPLQ
Nebraskangooner,1516164896035115015,2022-04-18 21:20:54+00:00,@Nebraskangooner @SmartContracter @ConvexMonster Thank for my btc bonus. Musk love https://t.co/lt6M1bkjo1
Nebraskangooner,1516160530158809089,2022-04-18 21:03:33+00:00,"@Nebraskangooner #Bitcoin   is testing the $40,9k level The $40.9k is a very important resistance level on the daily timeframe. A close above this level would be very bullish!

All thanks to @All_time_highfx for making my bitcoin dream come true! I’ve added massively to my holdings!!
Follow her!!"
Nebraskangooner,1516160524207390721,2022-04-18 21:03:32+00:00,"@Nebraskangooner #Bitcoin is more than an asset, it's a lifeboat"
Nebraskangooner,1516154105017913349,2022-04-18 20:38:02+00:00,@Nebraskangooner Any updates on BTC chart ?
Nebraskangooner,1516153853099806720,2022-04-18 20:37:02+00:00,"@Nebraskangooner THE BIG PROJECT IN 2022 
It's a solid project don't miss the opportunity 💰💰💰
Join us :
@SquawkFinance

Telegram :
https://t.co/5x78EI2yaX
#SQUAWK #CHRIP #crypto #eth #SquawkFinance #squawk #meme #mri #100xgem #1000x #cryptocurrency #Bitcoin   #shiba #doge #kiba"
Nebraskangooner,1516151668936933376,2022-04-18 20:28:21+00:00,"@Nebraskangooner #Bitcoin   is testing the $40,9k level The $40.9k is a very important resistance level on the daily timeframe. A close above this level would be very bullish!

All thanks to @All_time_highfx for making my bitcoin dream come true! I’ve added massively to my holdings!!
Follow her!!"
Nebraskangooner,1516132543002783747,2022-04-18 19:12:21+00:00,@Nebraskangooner Thank for my btc bonus. Musk love https://t.co/ZPGYjYPSk1
Nebraskangooner,1516131219322327056,2022-04-18 19:07:05+00:00,"@Nebraskangooner 🏋️ #SHIFT - $SHIFT
🏋️ #SHIFTFIT - #SHIFTNATION
🏋️ #SHIFTAPP
🏋️ #LETSGETFIT
🏋️ #DROPWEIGHT
🏋️ #DIET - #WOMENINCRYPTO
🏋️ #BTC  #ETH #POLYGON 
🏆 #CRYPTO #CRYPTOCURRENCY https://t.co/8NFAFesypu"
Nebraskangooner,1516130774415773704,2022-04-18 19:05:19+00:00,"@Nebraskangooner 🏋️ #SHIFT - $SHIFT
🏋️ #SHIFTFIT - #SHIFTNATION
🏋️ #SHIFTAPP
🏋️ #LETSGETFIT
🏋️ #DROPWEIGHT
🏋️ #DIET - #WOMENINCRYPTO
🏋️ #BTC  #ETH #POLYGON 
🏆 #CRYPTO #CRYPTOCURRENCY https://t.co/Ft8zIVhDSb"
Nebraskangooner,1516126861226614784,2022-04-18 18:49:46+00:00,@Nebraskangooner @DjaWad80643793 Thank for my btc bonus. Musk love https://t.co/FpVvI2OYuG
Nebraskangooner,1516122578808713227,2022-04-18 18:32:45+00:00,"This is why I don't take late entry into trades. People ask me why I'm not chasing shorts on BTC

Choppy &amp; at support. Top Goon x pretty bottomed too which makes it more risky

My overall bias is still down but doesn't mean I'm going to be shorting support

U buy dips short pumps"
Nebraskangooner,1516121897381109761,2022-04-18 18:30:03+00:00,@Nebraskangooner @Livercoin Thank for my btc bonus. Musk love https://t.co/BqUz8amiar
Nebraskangooner,1516111898428669955,2022-04-18 17:50:19+00:00,@Nebraskangooner Gooner be generous and let ppl reply when BTC goes up🔪🔪🔪..
Nebraskangooner,1516106252102864909,2022-04-18 17:27:53+00:00,"@Nebraskangooner Hey Gooner, 
while taxes aren’t fun, cheer up, you got 2 new houses last year &amp; Bitcoin didn’t go to zero, at least yet! Haha"
Nebraskangooner,1516104318054772742,2022-04-18 17:20:11+00:00,@Nebraskangooner Thankâ€™s for my btc bonus. Musk love https://t.co/RsfoZeH86S
Nebraskangooner,1516103445337591813,2022-04-18 17:16:43+00:00,@Nebraskangooner Thankâ€™s for my btc bonus. Musk love https://t.co/HtV0AOfSQ0
Nebraskangooner,1516100070046777346,2022-04-18 17:03:19+00:00,"@Nebraskangooner Holding is hard in bear markets, there's temptation to get out of your position.

Holding is also hard in bull markets, the siren song of altcoins is difficult to resist

@Tz4hol tweets &amp; tips have been helpful so far. I expect #bitcoin  to break out soon, follow her for more TA"
