To Author,Tweet_ID,Created_at,Tweet
PeterLBrandt,1515566763571920903,2022-04-17 05:44:08+00:00,@PeterLBrandt Let’s hope BTC follows suit
PeterLBrandt,1515531052986802177,2022-04-17 03:22:14+00:00,"@PeterLBrandt Jesus SAVEs,
Stacking #bitcoin will not hurt either."
PeterLBrandt,1515498939344109570,2022-04-17 01:14:38+00:00,@PeterLBrandt @elonmusk Sounds like Hex vs Btc.
PeterLBrandt,1514805448737648652,2022-04-15 03:18:57+00:00,@PeterLBrandt @elonmusk Just after you’ve pissed me off with bearish TA on btc…you come out with this😂 Simply well said.
PeterLBrandt,1514735923455426597,2022-04-14 22:42:41+00:00,@PeterLBrandt @elonmusk Bitcoin too!
PeterLBrandt,1514667678631403522,2022-04-14 18:11:30+00:00,"@PeterLBrandt @elonmusk I'm not sure you can have free speech without chaos. Not sure you can prevent free speech without chaos either...but, maybe the ""chart of human life"" is one of a wide rage; similar to #Bitcoin right now. It believes in itself, but is still having trouble convincing the majority."
PeterLBrandt,1514653259411165189,2022-04-14 17:14:12+00:00,@PeterLBrandt @elonmusk @elonmusk can you also please save #Bitcoin while you’re at it?
PeterLBrandt,1514575987534700545,2022-04-14 12:07:09+00:00,"@PeterLBrandt https://t.co/OgN2ukdB8u

what do you think about btc ?"
PeterLBrandt,1514488077678354432,2022-04-14 06:17:50+00:00,"@PeterLBrandt @TuurDemeester @vmacc317 GemUni has introduced Lending and Leasing Features into ecosystem to optimize investors’ profit.
All GemUni NFTs have been sold out. Get access to 1000+ easy-2-play casual games and enjoy earning while playing now
#GemUni #GENI #GENIX #BTC #ETH
Join now: https://t.co/pAQCEFFHLi https://t.co/RHCfFy3LmP"
PeterLBrandt,1514343671155638272,2022-04-13 20:44:01+00:00,"@PeterLBrandt @TuurDemeester @vmacc317 The next reduction in supply is March 2024

On that month the distribution of new #bitcoin will be cut in half. 

It takes about 1 year ( March 2025 ) for demand from people to affect the price 

So if the 10x doesn't happen within 2 years 

IT WILL HAPPEN MARCH 2025

#Freedom"
PeterLBrandt,1514327722453049346,2022-04-13 19:40:38+00:00,"@PeterLBrandt @TuurDemeester @vmacc317 Sir, #bitcoin is dead. It is not even x2 from its 2017 highs when adjusted for inflation. Manure and cucumbers have literally outperformed $btc. Gone are the days of violent upswings. If it ""congests for 2 to 3 years"", it really just mean it will never make a new high again. Ever"
PeterLBrandt,1514327329979383814,2022-04-13 19:39:04+00:00,@PeterLBrandt @TuurDemeester @vmacc317 Bitcoin [removed: either] congests for 2 to 3 years (and/)or goes on a 10X-plus run.
PeterLBrandt,1514327307137298433,2022-04-13 19:38:59+00:00,"@PeterLBrandt @TuurDemeester @vmacc317 Looking at this chart and given the natural cycles of btc it looks like it needs to ""congest"" below the MA before the next big run and it actually makes sense that it will explode in 2 to 3 years after the macro dust settles.

Basically this. https://t.co/ZJFC3lcty4"
