To Author,Tweet_ID,Created_at,Tweet
ThinkingUSD,1516129419085205513,2022-04-18 18:59:56+00:00,@ThinkingUSD Thank for my btc bonus. Musk love https://t.co/JaDdZuQl4j
ThinkingUSD,1516126077697114117,2022-04-18 18:46:39+00:00,"@ThinkingUSD looks bearish to me atm. ETH ""Merge"" has been cancelled so now I think BTC probably has a higher chance of leading."
ThinkingUSD,1516113814206492684,2022-04-18 17:57:55+00:00,"@ThinkingUSD Yes, #Bitcoin lightning."
ThinkingUSD,1516113071286202381,2022-04-18 17:54:58+00:00,@ThinkingUSD Hi there! Lanceria @lancerialabs is the  only Freelance Platform in Metaverse! It has a NFT Marketplace and Play to Earn Game that will be a huge thing! You can get in contact at https://t.co/moLChhdeiG. #metaverse $Lanc #freelance #cryptocurrencies #BTC https://t.co/mUfMO7GH0V
ThinkingUSD,1516109772780720138,2022-04-18 17:41:52+00:00,@ThinkingUSD BUY MOAR BITCOIN.
ThinkingUSD,1516108057306181638,2022-04-18 17:35:03+00:00,@ThinkingUSD Thankâ€™s for my btc bonus. Musk love https://t.co/aJbLQt0eG2
ThinkingUSD,1516103715660476416,2022-04-18 17:17:48+00:00,@ThinkingUSD Thankâ€™s for my btc bonus. Musk love https://t.co/8cqgoYfkBt
ThinkingUSD,1515751702963568645,2022-04-17 17:59:01+00:00,"@ThinkingUSD @InsilicoTrading Look at your pathetic life, and then at the WING/BTC on binance. I gave you food for thought. The choice is yours. Make it right at least once in your life"
ThinkingUSD,1515751675943956480,2022-04-17 17:58:55+00:00,"@ThinkingUSD Look at your pathetic life, and then at the WING/BTC on binance. I gave you food for thought. The choice is yours. Make it right at least once in your life"
ThinkingUSD,1514901525906272266,2022-04-15 09:40:43+00:00,"@ThinkingUSD The point is this:

The traders and market makers pushing the price into alignment with the Nasdaq, are wrong.

They think they have it figured out as a risk asset, but they're just guiding Bitcoin towards the biggest supply shock in its entire history."
ThinkingUSD,1514871267706482699,2022-04-15 07:40:29+00:00,"@ThinkingUSD I get a roughly 188% return for BTC from Jan 2018-present (buying right at an intermediate top), 307% for ETH since then.

116% for NDX over the same time period, so perhaps why trade the Nasdaq is the more relevant question?"
ThinkingUSD,1514849739082276865,2022-04-15 06:14:57+00:00,"@ThinkingUSD I think you’re starting to understand the impact of interest rates on speculative asset prices, if you made a killing on bitcoin these last few years do yourself a favour and buy forestry land"
ThinkingUSD,1514830504532529155,2022-04-15 04:58:31+00:00,@ThinkingUSD I miss when BTC was just correlated to gold
ThinkingUSD,1514808698253680641,2022-04-15 03:31:52+00:00,@ThinkingUSD I have asked myself the same question every single time I’ve watched people trade crypto on “technicals” ugghhh it’s going to do what the stock market does x5.  Still reactionary at this phase.  Think it’s a tail wags dog scenario though.  Trad fi is tail and btc is dog.
ThinkingUSD,1514755748219297792,2022-04-15 00:01:27+00:00,"@ThinkingUSD We’re not, nas100 is not following Bitcoin pattern or vice versa"
ThinkingUSD,1514695656375562242,2022-04-14 20:02:40+00:00,"@ThinkingUSD ... just understanding that the entire life of btc (from 2010 till today) was in a stock market bullrun, btc never experienced a stock market crash. Btc will almost die, hope it does not."
ThinkingUSD,1514684245855256590,2022-04-14 19:17:20+00:00,"@ThinkingUSD Man when it goes it goes tho...   but ya, stocks have to be healthy for that to happen...    and on top of that for Alts: stocks must be heathy, $BTC must be healthy, then Alts can run.   F’n shit coin trading..."
ThinkingUSD,1514662541829414913,2022-04-14 17:51:05+00:00,@ThinkingUSD It's bitcoin. It needs utility in order to decouple. No one uses it so it's on autopilot.
ThinkingUSD,1514649879125049351,2022-04-14 17:00:46+00:00,"@ThinkingUSD Everybody wanted institutions and mainstream adoption to come in and pump their bags. Correlation with traditional markets was the cost.

""If you can't handle me at my 0.91 correlation to Nasdaq, you don't deserve me at $69k"" - BTC"
