To Author,Tweet_ID,Created_at,Tweet
coinbureau,1516215510878334979,2022-04-19 00:42:02+00:00,@coinbureau 🚨JUST IN : @moonrock is temporarily offering holders 10% reflections! The time to get in is now! #eth #bitcoin #moonrockarmy #LRC #CVX #MKR #XTZ #FXS #web3 $shib #altcoins #staking $rock #faas #defiplay #react #defi #REN #moonrockmillionaires https://t.co/sDhiJ4Cw4q
coinbureau,1516210272142299141,2022-04-19 00:21:13+00:00,"@coinbureau We are experiencing a long DIP. It is an opportunity for you to make new market entries. I am still bullish on #BTC  #ETH  and #ADA.

I recommend you to follow an experts like @Candicestewartt to get daily #BTC analysis. I have earned and learnt a lot with her tips &amp; predictions."
coinbureau,1516185277584269313,2022-04-18 22:41:54+00:00,"@coinbureau #AquaGoat continues to rise as the #FOMO gathers pace! 🌊🐐

💥TUESDAY 26TH APRIL💥

Feed The #GOAT𓃵 (and your wallet)

#AquaGoatSwap #goats #BNB #BSC #DeFi #BTC #Ethereum #FEG #shiba #blockchain #ToTheMoon #Crypto #cryptocurrency #GoatTime #OceanCleanup #TeamSeas #DiamondHooves https://t.co/OtxXM1leNU"
coinbureau,1516163705318576129,2022-04-18 21:16:10+00:00,"@coinbureau AIRDROP EVENT CRYPTOCURRENCY
🏆 Claim Reward Up to 500.000 USDT
🔁 Airdrop Link: https://t.co/R6M0TTUOvo 

#bitcoin #binance #shibainu #ethereum #solana #trx #usdt #airdrop #crypto #giveaway https://t.co/yK6sm32ZNi"
coinbureau,1516152081937321984,2022-04-18 20:29:59+00:00,"@coinbureau Team is working hard to add new great #utility to this project. Staking of #TheOppaToken will give You chance to get some more tokens plus stable floor price for the #holders. Here's a sneak peek of staking Calculator.
#crypto #bsc #nft #passiveincome #btc #bnb #earn #future https://t.co/TyP1DZg3Pm"
coinbureau,1516114521655549952,2022-04-18 18:00:44+00:00,"@coinbureau Gm 😊Great Week !💮
Think +🍀🤝Cpos 

#love BTC &amp; CPOS 🤝 ☮️ 
350.000.000 (35 %) Cpos burned up to now...💥🔥
Genius Crypto Payment Solutions!
+ Staking &amp; @okx soon🍀@Cposcloud 🤗 @cposcloudturkey @arikanberkan
@Cposcloud @cposcloudturkey @MEXC_Global @Gateio_Turkiye @HuobiGlobal https://t.co/uoiKMDZpvf"
coinbureau,1516114270764900359,2022-04-18 17:59:44+00:00,"@coinbureau Gm 😊Great Week !💮
Think +🍀🤝Cpos 

#love BTC &amp; CPOS 🤝 ☮️ 
350.000.000 (35 %) Cpos burned up to now...💥🔥
Genius Crypto Payment Solutions!
+ Staking &amp; @okx soon🍀@Cposcloud 🤗 @cposcloudturkey @arikanberkan
@Cposcloud @cposcloudturkey @MEXC_Global @Gateio_Turkiye @HuobiGlobal https://t.co/dftuTuIu8g"
coinbureau,1516114175856103427,2022-04-18 17:59:22+00:00,"@coinbureau Gm 😊Great Week !💮
Think +🍀🤝Cpos 

#love BTC &amp; CPOS 🤝 ☮️ 
350.000.000 (35 %) Cpos burned up to now...💥🔥
Genius Crypto Payment Solutions!
+ Staking &amp; @okx soon🍀@Cposcloud 🤗 @cposcloudturkey @arikanberkan
@Cposcloud @cposcloudturkey @MEXC_Global @Gateio_Turkiye @HuobiGlobal https://t.co/3EsPDLk4Ir"
coinbureau,1516111507641221124,2022-04-18 17:48:46+00:00,@coinbureau This is why bitcoin only. Shitcoins are just different masters.
coinbureau,1516109264384933901,2022-04-18 17:39:51+00:00,"@coinbureau For posterity. My undereducated guess. 
ETH BTC 
Then in no order,
UST, LUNA, China's CDBC,
Some ""ETH killer"" ie SOL/ADA/etc,
Some trendy metaverse/PC gaming thing,
Another stablecoin.

In 10 years, insert some more CDBCs like Euro &amp; USFed"
