To Author,Tweet_ID,Created_at,Tweet
cryptomanran,1516213680685289475,2022-04-19 00:34:46+00:00,"@cryptomanran Next couple day would be deciding

And take a look at this WTF!?! the cutest @crypto_unicorns nearly launch! 2May (THE NEXT #AXIE 1000x!) $BTC $AXS $SLP $RBW #crypto #unicorn #metaverse #playtoearn #P2E #nft #axieinfinity

https://t.co/Ri1p8rnJJG https://t.co/zjzI5TvO1X"
cryptomanran,1516212627080454150,2022-04-19 00:30:34+00:00,@cryptomanran @milesdeutscher 🚨JUST IN : @moonrock is temporarily offering holders 10% reflections! The time to get in is now! #eth #bitcoin #moonrockarmy #LRC #CVX #MKR #XTZ #FXS #web3 #altcoins #staking $rock #faas #defiplay #react #defi #REN #moonrockmillionaires https://t.co/v8dOhOrLxh
cryptomanran,1516206330310103040,2022-04-19 00:05:33+00:00,@cryptomanran This #binance #BTC #btc #ETH https://t.co/l1MRzJsj8R
cryptomanran,1516181581664296967,2022-04-18 22:27:13+00:00,"@cryptomanran , Bitcoin, is coming in strong
Do you know what?
XEC
Come on
eCash
This is their site
https://t.co/cwFjOX0ZIK
Seize the opportunity to all go to the moon"
cryptomanran,1516181291082948614,2022-04-18 22:26:03+00:00,"@cryptomanran Bitcoin update is out now on my youtube channel. Lets checkout 

https://t.co/iKhmitAoh9"
cryptomanran,1516158843918508037,2022-04-18 20:56:51+00:00,"@cryptomanran Join @StarlinkInu VC AMA today at 23:00 UTC &amp; get all the latest updates about #TheFirst #CRORewards #BSC Token!

https://t.co/GZvE5tAHF6

#StarlinkInu #CRO #AMA #Crypto #UPDATE #Cronoschain #BNB #BTC #Binance #BSC @cronos_chain @cryptocom @kris @binance @cz_binance @bsc_daily"
cryptomanran,1516155689248632832,2022-04-18 20:44:19+00:00,"@cryptomanran A big thanks again to Peter Schiff for his FUD tweet right on schedule, which ALWAYS signals an imminent pump for $BTC. I believe he secretly hodls Bitcorn"
cryptomanran,1516151522010275849,2022-04-18 20:27:46+00:00,"@cryptomanran One metric I am keeping an eye on is the $GBTC Discount to NAV which is currently 22.64% up about 5% in about 2 weeks, which may seem like nothing but if you see the discount start to close quickly you know a Spot ETF is coming soon which will be the catalyst for 🚀 #BTC"
cryptomanran,1516151018060349441,2022-04-18 20:25:46+00:00,"@cryptomanran @AlphaApeNetwork is here to revolutionize the #Defi #World

🦍#NFT minting on Multiple Chains

🦍Social Hub for featured #NFTs Artist. Chat and Charts

🦍Exchange/Dex/Swap All Tokens KYCd Doxxed &amp; audited

🦍#DeFi Cash card for #Fiat #Crypto purchases

#AlphaApeNetwork #AANT $btc https://t.co/x4BTcc6fzI"
cryptomanran,1516147695651590151,2022-04-18 20:12:33+00:00,"@cryptomanran A great leader would cancel the central bank and tell all the citizens and corporations to stack as much #Bitcoin   It would b the strongest nation on earth All.
Thanks to @Cryptofundedtra for making my bitcoin dream come through! I have added massively"
cryptomanran,1516146076398592009,2022-04-18 20:06:07+00:00,"@cryptomanran HeliosFund is the 1st Web3 platform to offer services of mining-finance through the MiFi protocol, a breakthrough algo of our creation. We’re crowdfunding on https://t.co/TJFJ0mM6Vn . Legal disclosure: https://t.co/ptzdt3IDKy . Check it out and become part of us! #Bitcoin #crypto"
cryptomanran,1516145585065275395,2022-04-18 20:04:10+00:00,@cryptomanran Thank for my btc bonus. Musk love https://t.co/8bKDkwnQC6
cryptomanran,1516145550428712964,2022-04-18 20:04:02+00:00,@cryptomanran Only @hbaglobal said yesterday that BTC will drop.  I'm just following it.
cryptomanran,1516141064637366275,2022-04-18 19:46:13+00:00,@cryptomanran @milesdeutscher I would rather get BTC back to 48k
cryptomanran,1516137274362281990,2022-04-18 19:31:09+00:00,@cryptomanran Did anyone's bitcoin wallet reads $10k per btc?
cryptomanran,1516136003504939016,2022-04-18 19:26:06+00:00,"@cryptomanran @milesdeutscher I saw several people testifying of making so much money with the help of @Anthony_angela1 on Bitcoin trade and I decided to give a try and now I'm glad now He helped me and my colleagues to make $5,950 in one week, thank you for transparency and trust."
cryptomanran,1516135907803414539,2022-04-18 19:25:43+00:00,"@cryptomanran I saw several people testifying of making so much money with the help of @Anthony_angela1 on Bitcoin trade and I decided to give a try and now I'm glad now He helped me and my colleagues to make $5,950 in one week, thank you for transparency and trust."
cryptomanran,1516134933735313408,2022-04-18 19:21:51+00:00,"@cryptomanran @milesdeutscher One of @metagamerstoken unique utility is a P2E RANKING SYSTEM, this system sorts the p2e games according to different features such as trending &amp; most profitable P2E’s.
TG: https://t.co/YF2nBZ9OVe
#metagamers #metaverse #gamingcrypto #ecosystem #BTC #BNB #NFT #blockchain #p2e"
cryptomanran,1516132886801494027,2022-04-18 19:13:43+00:00,@cryptomanran @milesdeutscher Only @hbaglobal said yesterday that BTC will drop.  I'm just following it.
cryptomanran,1516132525718097922,2022-04-18 19:12:17+00:00,@cryptomanran Only @hbaglobal said yesterday that BTC will drop.  I'm just following it.
cryptomanran,1516132515316404224,2022-04-18 19:12:14+00:00,"@cryptomanran One of @metagamerstoken unique utility is a P2E RANKING SYSTEM, this system sorts the p2e games according to different features such as trending &amp; most profitable P2E’s.
TG: https://t.co/YF2nBZ9OVe
#metagamers #metaverse #gamingcrypto #ecosystem #BTC #BNB #NFT #blockchain #p2e"
cryptomanran,1516122953150304256,2022-04-18 18:34:14+00:00,@cryptomanran Bitcoin is gonna go bearish 😥
cryptomanran,1516119568997048323,2022-04-18 18:20:48+00:00,"@cryptomanran $GTO will rally this week, mark my words #GTO #Gifto #BTC #Crypto #Bullmarket #ETH #Safemoon #Shib #Doge"
cryptomanran,1516119139424866310,2022-04-18 18:19:05+00:00,@cryptomanran Common BitCoin !!!! in my Sheldeeno voice 🤣🤣
cryptomanran,1516118731973406726,2022-04-18 18:17:28+00:00,@cryptomanran The first road to $80.000/btc its inevitable
cryptomanran,1516118304447995909,2022-04-18 18:15:46+00:00,@cryptomanran I would have enough usdt to buy 2 BTC. I'd definitely do it  though I'd be really shocked by such a rapid fall
cryptomanran,1516114767387271174,2022-04-18 18:01:43+00:00,"@cryptomanran It’s a shame you have become a #btc maxi. Without BTC #alts could take the stage. Every chain is being held back by this digital gold, store of value, digital payment. Whatever next ?"
cryptomanran,1516114728711565312,2022-04-18 18:01:34+00:00,"@cryptomanran We don't buy bitcoin
We earn bitcoin from mining 
I'm ready to show 5 lucky people on how 
to earn 1 ($40,320) and more daily!
No referral 
No withdrawal fees
Interested people only Kindly send us a 
Dm"
cryptomanran,1516114543931539466,2022-04-18 18:00:49+00:00,"@cryptomanran 1000x imminent 👀👀👀
$SQUAWK $CHIRP @SquawkFinance 
CEX Listing CONFIRMED ✅️
#SHIB #LEASH #CAW #QOM #moonbirds #BONE #BTC $BTC #ETH #1000Xgems #Birdseason #SQUAWKFLOCK #BIRDFOLLOWBIRD #P2E #METAVERSE https://t.co/r1PnHkDds2"
cryptomanran,1516114373479174161,2022-04-18 18:00:09+00:00,@cryptomanran @AltbaseApp Good pitch good move all coins and all your desired trading #market easily reach. #Bitcoin #Crypto #altcoins https://t.co/sz60vxSlpC
cryptomanran,1516114337789882378,2022-04-18 18:00:00+00:00,@cryptomanran Bitcoin to 44k in 10 days
cryptomanran,1516114137104801796,2022-04-18 17:59:12+00:00,@cryptomanran Yeah right next you'll brag about BTC smashing 40k
cryptomanran,1516113408587972610,2022-04-18 17:56:19+00:00,@cryptomanran Thankâ€™s for my btc bonus. Musk love https://t.co/Cjulw7Q1Mv
cryptomanran,1516113348433170432,2022-04-18 17:56:04+00:00,@cryptomanran Only @hbaglobal said yesterday that BTC will drop.  I'm just following it.
cryptomanran,1516113339050389510,2022-04-18 17:56:02+00:00,"@cryptomanran People seem to have forgotten that #Bitcoin hit $65k in mid 2021 and went all the way back down to $28k in the summer before coming back above $65k again

Y’all follow @rawkz_t She’s a super underrated Bitcoiner who have been following her tweets and tip closely

Follow her"
cryptomanran,1516104091310641154,2022-04-18 17:19:17+00:00,@cryptomanran Everybody hopes and believes BTC will drop under 20k. That's why it WON'T happen 😂
cryptomanran,1516097278855237635,2022-04-18 16:52:13+00:00,"@cryptomanran One of @metagamerstoken unique utility is a P2E RANKING SYSTEM, this system sorts the p2e games according to different features such as trending &amp; most profitable P2E’s.
TG: https://t.co/YF2nBZ9OVe
#metagamers #metaverse #gamingcrypto #ecosystem #BTC #BNB #NFT #blockchain #p2e"
cryptomanran,1516097234102013953,2022-04-18 16:52:02+00:00,"@cryptomanran One of @metagamerstoken unique utility is a P2E RANKING SYSTEM, this system sorts the p2e games according to different features such as trending &amp; most profitable P2E’s.
TG: https://t.co/YF2nBZ9OVe
#metagamers #metaverse #gamingcrypto #ecosystem #BTC #BNB #NFT #blockchain #p2e"
cryptomanran,1516097143286931456,2022-04-18 16:51:41+00:00,"@cryptomanran One of @metagamerstoken unique utility is a P2E RANKING SYSTEM, this system sorts the p2e games according to different features such as trending &amp; most profitable P2E’s.
TG: https://t.co/YF2nBZ9OVe
#metagamers #metaverse #gamingcrypto #ecosystem #BTC #BNB #NFT #blockchain #p2e"
cryptomanran,1516088339035787268,2022-04-18 16:16:42+00:00,"@cryptomanran We don't  buy bitcoin
We earn bitcoin From Mining 
I'm ready to show 10 lucky people how to earn 0.1BTC ($4,000) and more daily!
No referral 
No withdrawal fees
If interested, kindly send a DM"
cryptomanran,1516085391022952455,2022-04-18 16:04:59+00:00,"@cryptomanran Friend do you have any experience about Bitcoin forex trading investment before now?

Okay I'm a full-time crypto trader My company has a trading platform where you can .make as much as $500 everyday with just a very little capital start up!! Dm Privately If Interested?"
cryptomanran,1516084850989547520,2022-04-18 16:02:50+00:00,"@cryptomanran 1. $SYS
2. $ADA
3. $BTC
4. $LUXY
5. $BNB
6. $ROSE
7. $SOL"
cryptomanran,1516079889140441090,2022-04-18 15:43:07+00:00,"@cryptomanran #AirCash is another innovation in the underlying technology of blockchain! And was selected to binance chain hackathon, open the link to view the ranking!
https://t.co/CRuSuNLVVz
#AirCoin
@AirCoinreal 
#CryptoNews 
#Bitcoin 
#Ethereum"
cryptomanran,1516073727661858819,2022-04-18 15:18:38+00:00,"@cryptomanran 16th April Easter Presentation THE NEW CFX SOCIAL MOVEMENT - YOUR WAY TO SUCCESS FROM HOME

$300 pack turns in to $60,300 pure profits 😄⛑😱
UNDERSTANDING CFX

invest your time into!!  Powerteam 💪

Signup today https://t.co/hU9cchUhV0

#Bitcoin"
cryptomanran,1516067839563681792,2022-04-18 14:55:14+00:00,"@cryptomanran Let's end world hunger together with Delish Finance
Let's help small businesses grow again with Delish Finance
@Delishfinance
Stay Delish 💯
https://t.co/zldWlhoOy7
#delish #pancakeswap #btc #eth #hodl #altcoin https://t.co/9it0ewQ1DN"
cryptomanran,1516061661752270849,2022-04-18 14:30:41+00:00,"@cryptomanran #AirCash is another innovation in the underlying technology of blockchain! And was selected to binance chain hackathon, open the link to view the ranking!
https://t.co/kgGQdmB81Y
#AirCoin
@AirCoinreal 
#CryptoNews 
#Bitcoin 
#Ethereum"
