To Author,Tweet_ID,Created_at,Tweet
elliotrades,1516139830014627846,2022-04-18 19:41:18+00:00,"@elliotrades What is your opinion about the current #Bitcoin state, since its Fear and Greed Index is 48 - NEUTRAL, with price of 40285.555249988262 usd? Our analytical team has done extended research regarding #BTC, but we want to hear your opinion also."
elliotrades,1516139450694344706,2022-04-18 19:39:48+00:00,@elliotrades Thank for my btc bonus. Musk love https://t.co/ZNEzeEbJqk
elliotrades,1516128351735324679,2022-04-18 18:55:42+00:00,@elliotrades StepN $GMT going Crazy high Up 🚀🚀🚀🚀🚀 in time frame 4H the formed is Good strong 🚀🚀🚀🚀    #stepn   #bitcoin   #lifestyle   #defi   #NFTCommmunity
elliotrades,1516117935227645957,2022-04-18 18:14:18+00:00,"@elliotrades We don't buy bitcoin
We earn bitcoin from mining 
I'm ready to show 5 lucky people on how 
to earn 1 ($40,320) and more daily!
No referral 
No withdrawal fees
Interested people only Kindly send us a 
Dm"
elliotrades,1516115907327660032,2022-04-18 18:06:15+00:00,"@elliotrades the strongest bullish signal flashed for #Bitcoin   . Not trend reverse but price bounce is anticipated!

@All_Time_Highfx  is a super #BTC    Trader 
I’ve been following his tweets and tips seriously &amp; I’ve been doing great $AVAX $PYR $REN $KEY #Cryptocurrency"
elliotrades,1516109415480393729,2022-04-18 17:40:27+00:00,"@elliotrades Talk about #Diversifying your portfolio, @StarlinkInu is #TheFirst #BSC Token to pay its holders in #CRO #REWARDS #LFG #StarlinkInu 

#CRORewards #ALTSEASON $CRO $BTC $ADA $BNB $BSC $AMC $shib $ftt $ar $enj $etc $sol $bora $omg $dcr $kcs $fil $eth  @Kris @cryptocom @cronos_chain https://t.co/NZSZ1MZgqI"
elliotrades,1516108985702756357,2022-04-18 17:38:44+00:00,"@elliotrades What do you think about the current #Bitcoin state, since its Fear and Greed Index is 46 - NEUTRAL at the moment, with price of 39245.455311735289 usd? Our analytical team has done a detailed analysis regarding #BTC, but we want to hear your opinion too."
elliotrades,1515814906473426954,2022-04-17 22:10:10+00:00,"@elliotrades @PlayImpostors We don't  buy bitcoin
We earn bitcoin From Mining 
I'm ready to show 10 lucky people how to earn 0.1BTC and more daily!
No referral 
No withdrawal fees
If interested, kindly send a DM"
elliotrades,1515420038345469962,2022-04-16 20:01:06+00:00,@elliotrades @The_Lunartics Thank’s for my btc bonus. Musk love https://t.co/ijK8qekMAN
elliotrades,1515241721650728964,2022-04-16 08:12:32+00:00,"@elliotrades Gm 😊Great Week !💮
Think +🍀🤝Cpos 

#love BTC &amp; CPOS 🤝 ☮️ 
350.000.000 (35 %) Cpos burned up to now...💥🔥
Genius Crypto Payment Solutions!
+ Staking &amp; @okx soon🍀@Cposcloud 🤗 
@Cposcloud @cposcloudturkey @MEXC_Global @Gateio_Turkiye @HuobiGlobal @kucoincom @okx  @c0insbit https://t.co/SGkT0dmK4X"
elliotrades,1515192078308831240,2022-04-16 04:55:17+00:00,@elliotrades @cryptomanran Now she’s dumping and Bitcoin is too
elliotrades,1515119031824568323,2022-04-16 00:05:01+00:00,@elliotrades @travissentell @EthanSBrewerton @MechaChaoticNFT @PlayImpostors Thank’s for my btc bonus. Musk love https://t.co/PtSBGvDJTH
elliotrades,1515003059184754699,2022-04-15 16:24:11+00:00,"@elliotrades @opensea @xanderatallah First 500 $SAPE holders receive a free NFT. There will be 500 more for sale through SAPE Dapp. You can stake these.
TG https://t.co/e8pvUvjFeb
#bsape  #sape #safuape #crypto #eth #btc @sapeofficialeth https://t.co/yMSjVvh48L"
elliotrades,1514940764631048193,2022-04-15 12:16:39+00:00,"@elliotrades @opensea @xanderatallah Cylum Cylinder is a 1000BNB backup fund. This helps the DAO in case the $CYM token price drops dramatically. to reassure our investors.

Tg~ https://t.co/wQX7rMsue6
Web~ https://t.co/yjkmYv8rgL
Twt~ @Cylumfinance

#Cylumfinance #BSC #BNB #ETH #Solana #Cryptocurrency #NFT #Bitcoin https://t.co/z2ergtN5ms"
elliotrades,1514735915213721602,2022-04-14 22:42:39+00:00,"@elliotrades What is your opinion about the current #Bitcoin state, since its Fear and Greed Index is 50 - NEUTRAL, with price of 39987.300523651815 usd? Our analytical team has done extended research regarding #BTC, but we want to hear your opinion also."
elliotrades,1514682641701867523,2022-04-14 19:10:57+00:00,"@elliotrades What do you think about the current #Bitcoin state, since its Fear and Greed Index is 51 - NEUTRAL at the moment, with price of 39942.629870990821 usd? Our analytical team has done a detailed analysis regarding #BTC, but we want to hear your opinion too."
elliotrades,1514660350989602817,2022-04-14 17:42:23+00:00,"@elliotrades @kmoney_69 NoW that's what we call a bottom !

#Bitcoin set to the moon and new ATH from now

#LUNA has never been #NEAR to its new ATH

#NFA 

Do NOT follow us, JOIN us"
elliotrades,1514414720446566404,2022-04-14 01:26:20+00:00,@elliotrades @KosherPlug Thank’s for my btc bonus. Musk love https://t.co/mGvg51z6uF
elliotrades,1514368337748369411,2022-04-13 22:22:01+00:00,"@elliotrades @cryptomanran The only opportunity you got on cryptocurrency is to trade on binance futures,the more you invest on #BTC and other altcoins the more they dumped it on you,join us and learn how to trade on binance futures
https://t.co/xtcP0UQQbV https://t.co/sUSQ3j5euw"
elliotrades,1514366168722821120,2022-04-13 22:13:24+00:00,@elliotrades @JimboDegen @PlayImpostors @SuperFarmDAO Thank’s for my btc bonus. Musk love https://t.co/GkAp6DhKJj
elliotrades,1514363334799224836,2022-04-13 22:02:09+00:00,@elliotrades @cryptomanran looks like a BTC tradingview chart
elliotrades,1514362902538502152,2022-04-13 22:00:26+00:00,@elliotrades @PlayImpostors Thank’s for my btc bonus. Musk love https://t.co/CdW8iB8tlL
elliotrades,1514354946019373058,2022-04-13 21:28:49+00:00,@elliotrades @readyplayerh @ZssBecker Thank’s for my btc bonus. Musk love https://t.co/84MbbPO31e
