To Author,Tweet_ID,Created_at,Tweet
intocryptoverse,1516216593897897985,2022-04-19 00:46:20+00:00,"@intocryptoverse Bitcoin can make you a Millionaire but Good altcoin can make you more millions, and there’s a number of them available. 

send me a message for more info.

#Altseason is coming"
intocryptoverse,1516216000609660928,2022-04-19 00:43:59+00:00,"@intocryptoverse Bird trend of year 2022.
Don't miss this chance to become rich. Buy $SQUAWK $CHIRP. @SquawkFinance 
$SQUAWK Listed CMC and CGC.
Cex listing: MEXC (Trading 04:00 UTC 19/04)
#squawk #meme #mri #100xgem #1000x #cryptocurrency #Bitcoin #shiba #doge #kiba"
intocryptoverse,1516214349744033796,2022-04-19 00:37:25+00:00,@intocryptoverse Do you cover anything besides BTC ?
intocryptoverse,1516213644845289475,2022-04-19 00:34:37+00:00,"@intocryptoverse Yes, I'm fine, I bought bitcoin for $38,900#"
intocryptoverse,1516209125855797254,2022-04-19 00:16:40+00:00,"@intocryptoverse We are experiencing a long DIP. It is an opportunity for you to make new market entries. I am still bullish on #BTC  #ETH  and #ADA.

I recommend you to follow an experts like @Candicestewartt to get daily #BTC analysis. I have earned and learnt a lot with her tips &amp; predictions."
intocryptoverse,1516201461939585032,2022-04-18 23:46:12+00:00,@intocryptoverse Awaiting the next “event” that would not allow #bitcoin to pick up pace. Funny how all the “negative” events are sticky while “positive” ones are like they never happened
intocryptoverse,1516199525748248592,2022-04-18 23:38:31+00:00,"@intocryptoverse @KleeKaiETH The king in crypto World
@cz_binance and @1goonrich should buy this hidden Gem
Credit card, Legal tender E SL, P2E, reward in ETh and BTC, huge potential, massive massive growth on the way
@WatcherGuru @davidgokhshtein @AltCryptoGems @elonmusk https://t.co/YIWApVvofG"
intocryptoverse,1516199424606695425,2022-04-18 23:38:07+00:00,"@intocryptoverse #Bitcoin   is testing the $40,9k level The $40.9k is a very important resistance level on the daily timeframe. A close above this level would be very bullish!

All thanks to @All_time_highfx for making my bitcoin dream come true! I’ve added massively to my holdings!!

Follow her!"
intocryptoverse,1516199009790185476,2022-04-18 23:36:28+00:00,@intocryptoverse #BTC wants to decouple from #tech
intocryptoverse,1516198510953218055,2022-04-18 23:34:29+00:00,"@intocryptoverse Preparing to add margin for any real BTC emergency, typical weather. Ha. Ha. Ha. https://t.co/QDHxwsQbzn"
intocryptoverse,1516197781534216192,2022-04-18 23:31:35+00:00,"@intocryptoverse I'm doing well and hope everyone else is, too. When going by $BTC daily closing prices, there really just hasn't been much drama 🙂 https://t.co/XBuaNtFuQD"
