To Author,Tweet_ID,Created_at,Tweet
julianhosp,1515974880407207936,2022-04-18 08:45:51+00:00,@julianhosp @nasdaily Looks clean and beautiful! Let's announce the golden future of #bitcoin and #crypto now! https://t.co/NEct46ZaPm
julianhosp,1515384842426454019,2022-04-16 17:41:15+00:00,"@julianhosp @DanielZirkel @defichain Friend greetings from Brazil. I see Brazilians wanting to buy #DFI, without many being able to or even not knowing. You can try to put @cakedfi #DFI in the free_market (#MercadoLivre). just as we already have BTC and others there. It would be a good idea and the easy way to buy."
julianhosp,1515383902948503562,2022-04-16 17:37:31+00:00,"@julianhosp Friend greetings from Brazil. I see Brazilians wanting to buy #DFI, without many being able to or even not knowing. You can try putting @cakedfi #DFI on the free market. just as we already have BTC and others there. It would be a good idea and the easy way to buy it in Brazil."
julianhosp,1515320591825387524,2022-04-16 13:25:57+00:00,"@julianhosp gold, #Bitcoin , stocks, bonds and real estate is there to park your money

Cash flow is there to ride with your money."
julianhosp,1514924900984799237,2022-04-15 11:13:36+00:00,"@julianhosp $CYM is the native token for Staking incentives. Tax distribution benefits every token holder in CYM. merely for holding $CYM tokens.

Tg~ https://t.co/wQX7rMsue6
Web~ https://t.co/yjkmYv8rgL
Twt~ @Cylumfinance

#Cylumfinance #BSC #BNB #ETH #Solana #Cryptocurrency #NFT #Bitcoin https://t.co/stY0oix5Pw"
julianhosp,1514923902530695171,2022-04-15 11:09:38+00:00,@julianhosp @100trillionUSD yeah really good idea. #BTC
julianhosp,1514868276626665477,2022-04-15 07:28:36+00:00,@julianhosp A human verification method with a Bitcoin Lightning Wallet would be great ... every real human would have to put 100 000 Sats into his Profil to verify if ur a real person or a Bot !!!! We have to much fake propaganda Bots on here ... we need a human protection Programm on here!
julianhosp,1514512168938455040,2022-04-14 07:53:34+00:00,"@julianhosp @defichain GemUni has introduced Lending and Leasing Features into ecosystem to optimize investors’ profit.

All GemUni NFTs have been sold out. Get access to 1000+ easy-2-play casual games and enjoy earning while playing now.

#GemUni #GENI #GENIX #BTC #ETH
Join now:https://t.co/02m4ME4gbj https://t.co/MdIKcaHq6I"
julianhosp,1514512151271993346,2022-04-14 07:53:29+00:00,"@julianhosp GemUni has introduced Lending and Leasing Features into ecosystem to optimize investors’ profit.

All GemUni NFTs have been sold out. Get access to 1000+ easy-2-play casual games and enjoy earning while playing now.

#GemUni #GENI #GENIX #BTC #ETH
Join now:https://t.co/02m4ME4gbj https://t.co/YXqvvrjqJS"
julianhosp,1514467863805198339,2022-04-14 04:57:30+00:00,"@julianhosp @defichain ""GemUni has introduced Lending and Leasing Features into ecosystem to optimize investors’ profit.
All GemUni NFTs have been sold out. Get access to 1000+ easy-2-play casual games and enjoy earning while playing now
#GemUni #GENI #GENIX #BTC #ETH
Join now: https://t.co/RsyexZXVhz"" https://t.co/XazFqe1OqS"
julianhosp,1514272463462580227,2022-04-13 16:01:03+00:00,@julianhosp this study is just about bitcoin fans.. what about HODL'ers???🤔🤔
julianhosp,1514159645484621828,2022-04-13 08:32:45+00:00,@julianhosp @cakedefi Can you share which @cakedefi services are mostly used by new customers? I guess they are not signing up for $BTC lending only 😉💪
julianhosp,1514008905499750400,2022-04-12 22:33:46+00:00,"@julianhosp ~13% of them given 87% of bitcoiners hold other coins. 

Also, there’s some BTC maxis who are my absolute favorite in this space."
julianhosp,1513720079036338178,2022-04-12 03:26:05+00:00,@julianhosp Do you think btc will See Prices below 30k? I like Ur straight Forward analysis and wonder whats your opinion on the latest dip
