To Author,Tweet_ID,Created_at,Tweet
rektcapital,1516199628609396742,2022-04-18 23:38:55+00:00,"@rektcapital Looking to diversify &amp; grow your portfolio with cryptocurrencies like #Bitcoin? 
RegalAssets is uniquely qualified to serve your portfolio needs. 
Click here to invest and supercharge your portfolio with Bitcoin today!
➡️ https://t.co/DhBTy3AjSs
#cryptocurrency #portfolio #stocks"
rektcapital,1516171257800278018,2022-04-18 21:46:11+00:00,"@rektcapital Looking to diversify &amp; grow your portfolio with cryptocurrencies like #Bitcoin? 
RegalAssets is uniquely qualified to serve your portfolio needs. 
Click here to invest and supercharge your portfolio with Bitcoin today!
➡️ https://t.co/DhBTy3AjSs
#cryptocurrency #portfolio #stocks"
rektcapital,1516146059575435265,2022-04-18 20:06:03+00:00,"@rektcapital One of @metagamerstoken unique utility is a P2E RANKING SYSTEM, this system sorts the p2e games according to different features such as trending &amp; most profitable P2E’s.
TG: https://t.co/jkW4FSaopA
#metagamers #metaverse #gamingcrypto #ecosystem #BTC #BNB #NFT #blockchain #p2e"
rektcapital,1516140740207943689,2022-04-18 19:44:55+00:00,"@rektcapital Bitcoin will make many millionaires, but Altcoins will make more millionaires. And there's a number of new good Altcoins. Send a message to know more.

#Altcoinseason is here."
rektcapital,1516135310387679234,2022-04-18 19:23:21+00:00,"@rektcapital #Bitcoin  is testing the $40,9k level The $40.9k is a very important resistance level on the daily timeframe. A close above this level would be very bullish!

All thanks to @All_time_highfx for making my bitcoin dream come true! I’ve added massively to my holdings!!

Follow her!!"
rektcapital,1516129696311824391,2022-04-18 19:01:02+00:00,@rektcapital Bitcoin is a volatile asset and it's technical analysis keep changing. Earlier today many people were predicting futher bearish movement but right now the predictions has started changing to bullish. Bitcoin started today on a scary note and is about ending on a good note
rektcapital,1516125659877281795,2022-04-18 18:45:00+00:00,"@rektcapital Bitcoin has refused to stay down. From the $38K low today it pumped to $41K high and then corrected to $40K now. Bitcoin keeps playing with there TA guys. This minute they are predicting bearish moves, the next Bitcoin reverses and they'll start seeing bullish potential."
rektcapital,1516125535180496903,2022-04-18 18:44:30+00:00,"@rektcapital People seem to have forgotten that #Bitcoin  hit $65k in mid 2021 and went all the way back down to $28k in the summer before coming back above $65k again

Y’all follow @rawkz_t She’s a super underrated Bitcoiner who have been following her tweets and tip closely

Follow her"
rektcapital,1516123563824230405,2022-04-18 18:36:40+00:00,@rektcapital Only @hbaglobal said yesterday that BTC will drop.  I'm just following it.
rektcapital,1516121651389165570,2022-04-18 18:29:04+00:00,"@rektcapital It's a Bear Flag 
#Bitcoin"
rektcapital,1516121281493549059,2022-04-18 18:27:36+00:00,"@rektcapital People seem to have forgotten that #Bitcoin hit $65k in mid 2021 and went all the way back down to $28k in the summer before coming back above $65k again

Y’all follow @rawkz_t She’s a super underrated Bitcoiner who have been following her tweets and tip closely

Follow her"
rektcapital,1516121119748763648,2022-04-18 18:26:57+00:00,@rektcapital Only @hbaglobal said yesterday that BTC will drop.  I'm just following it.
rektcapital,1516116546183397377,2022-04-18 18:08:47+00:00,@rektcapital Time to get out of the declining #Bitcoin. Don’t panic. Remove your investment quickly. And don’t look back. You know that #Bitcoin is on its way out!
rektcapital,1516111303860969473,2022-04-18 17:47:57+00:00,"@rektcapital Gm 😊Great Week !💮
Think +🍀🤝Cpos 

#love BTC &amp; CPOS 🤝 ☮️ 
350.000.000 (35 %) Cpos burned up to now...💥🔥
Genius Crypto Payment Solutions!
+ Staking &amp; @okx soon🍀@Cposcloud 🤗 @cposcloudturkey @arikanberkan
@Cposcloud @cposcloudturkey @MEXC_Global @Gateio_Turkiye @HuobiGlobal https://t.co/F8nb6RG9a9"
rektcapital,1516111168112316416,2022-04-18 17:47:25+00:00,"@rektcapital Gm 😊Great Week !💮
Think +🍀🤝Cpos 

#love BTC &amp; CPOS 🤝 ☮️ 
350.000.000 (35 %) Cpos burned up to now...💥🔥
Genius Crypto Payment Solutions!
+ Staking &amp; @okx soon🍀@Cposcloud 🤗 @cposcloudturkey @arikanberkan
@Cposcloud @cposcloudturkey @MEXC_Global @Gateio_Turkiye @HuobiGlobal https://t.co/whosi5Ju8r"
