To Author,Tweet_ID,Created_at,Tweet
saylor,1516215885442261000,2022-04-19 00:43:31+00:00,"@saylor Actually, I have read that everyone is against you buying #Bitcoin and they are never for it 😅"
saylor,1516214212669935616,2022-04-19 00:36:52+00:00,"@saylor https://t.co/VeQ8TZzNFn is inevitably going to consume some amount of #bitcoin w/ 1 way transfers. Exciting future for https://t.co/HWTOeRTwNv &amp; the 1st ever #PoW #NFT, https://t.co/j8evo7WkX7 aka $HACD 💎. $HAC $BTC $HACD 3 proof-of-work 1 chain. @HacashWorld @HacashDiamond 💎 https://t.co/aCXMm84T7b"
saylor,1516213296286019584,2022-04-19 00:33:14+00:00,@saylor bitcoin is like a married woman... she can take half at any given moment and we are just trying to keep her  #bitcoin
saylor,1516213208721227779,2022-04-19 00:32:53+00:00,"@saylor You will need #dogecoin regardless now Michael 👍

#BTC #ETH and #DOGE to the moon 🚀🌝 https://t.co/VCBuU3CcBI"
saylor,1516207966701211653,2022-04-19 00:12:03+00:00,"@saylor The @pandagirltoken  minting starts on 04/29. We are still early. Buy now
@pandagirltoken
 #pandagirl #nft #nftart #giveaway #BTC #ADA #ETH #SHIB #BabyDoge"
saylor,1516205190625456128,2022-04-19 00:01:01+00:00,"@saylor Even IF they can’t afford it? Ya know, sure seems like it’d be VERY frustrating to know ya want something but are too poor to purchase it. No begrudge. Fund a contest, Mike @saylor! $1000 cash for $1000 folks. They CAN buy #BTC but don’t have to. Most need fiat cash. #MeTo0"
saylor,1516203137257902081,2022-04-18 23:52:52+00:00,"@saylor #bitcoin is the digital gold, buy #BTC now. Find your broker at https://t.co/JYMmgx8xVW."
saylor,1516200689722171393,2022-04-18 23:43:08+00:00,"@saylor We're not against #bitcoin, Shiba Inu, eth, or any other internet coins. We are using them to put our $Doge on the moon https://t.co/rrNb3rkUog"
saylor,1516196739715407882,2022-04-18 23:27:26+00:00,@saylor Send me 1 bitcoin u have a lot
saylor,1516186419240345606,2022-04-18 22:46:26+00:00,@saylor I was very excited about crypto and bitcoin 1 year ago. I longed 36k and it dumped to 28k until I am liquidated just with milimeter difference and then it went up. When I got money I longed again and then it dumped down.
saylor,1516184369299439622,2022-04-18 22:38:17+00:00,@saylor Send me 2 btc and change my life 1Cgycynu6SyNznnQDZp1Ke7Le8XWqsRmtH
saylor,1516183716040744969,2022-04-18 22:35:41+00:00,@saylor I was never against #Bitcoin
saylor,1516181739063885834,2022-04-18 22:27:50+00:00,"@saylor , Bitcoin, is coming in strong
Do you know what?
XEC
Come on
eCash
This is their site
https://t.co/cwFjOX0ZIK
Seize the opportunity to all go to the moon"
