To Author,Tweet_ID,Created_at,Tweet
valcoins,1516150251098361871,2022-04-18 20:22:43+00:00,"@ValCoins Relax.
Only whale(s) want to buy alts on btc pairs 😉"
valcoins,1516105363451428871,2022-04-18 17:24:21+00:00,"@ValCoins Thats the dxy chart.  so Dxy , if it turns the opposite direction and goes down towards the bottom range, BTC goes up ? please help with this theory. your best student here 🤓🚨 https://t.co/2r0FgqlVuD"
valcoins,1516102333503053824,2022-04-18 17:12:18+00:00,@ValCoins keep going. Waiting btc 25k
valcoins,1516098095976951808,2022-04-18 16:55:28+00:00,"@ValCoins Y?... I want BTC stable , dom to go dow 5% and total to 10T ... My alts want to grow... Dream of mine😂"
valcoins,1516054154904731651,2022-04-18 14:00:52+00:00,@ValCoins Hahaha this prediction gonna eat ur money.  U better dnt follow this one. Btc will dump more. Whales are now doing trade outside exchange. If u dnt knw what this mean u are deaddd
valcoins,1515965526178091011,2022-04-18 08:08:41+00:00,"@ValCoins There’s this silliness in the crypto sphere every time $BTC makes a leg down or leg up movement, bears vs bulls start to fight predicting unrealistic prices losses or gains. Fact is the so called trade gurus just want to record a fake scoop to gain more traction to their tweets."
valcoins,1515916740995256324,2022-04-18 04:54:50+00:00,"@ValCoins I never short or long I just buy spot. Like saylor says, never sell your bitcoin."
valcoins,1515350721922842635,2022-04-16 15:25:40+00:00,@ValCoins I see this instead #btc https://t.co/0LZHv4GTL5
valcoins,1515083703139155972,2022-04-15 21:44:38+00:00,"@ValCoins ❗ Busy and don't have time to trade⏱️
 ❗ New to the world of crypto and you have no experience ⭕
 ❗ Tired of big losses
 ❗ You are afraid to lose your money ⏬⏬
 ❗ You cannot send your money to anyone to trade for you ⛔

(COPY TRADING SYSTEM)

SMARTER BTC
---------------- https://t.co/BoGlgJpvK5"
valcoins,1514922697582645250,2022-04-15 11:04:51+00:00,"@ValCoins Dont understand why everybody is so bullish: almost no volume, retail is not interested at all, macro economics suck balls (war, inflation,recession) and btc is seen as b techstock… as long ad it doesnt decouple.. btc is going to range between 30-40k. Maybe a bloe off top to 60k"
valcoins,1514632545966571520,2022-04-14 15:51:54+00:00,@ValCoins BTC again made brat simpson..
valcoins,1514507689778638849,2022-04-14 07:35:46+00:00,"@ValCoins @Cylumfinance IMO still in progress! 

🔗 Buy: https://t.co/14p39MDHNs
📌 0.00001 BNB per $CYM
📌 0.01 BNB min invest!

☑️ CMC/CGC listed
🔐 LP locked up to 5 years!
☑️ certik audit

Visit ⬇️
🌐 https://t.co/W1sXpoYiCk
💬 https://t.co/ywq8wYmAjX

#staking #bsc #sol #DeFI #BTC https://t.co/ta0QLpCnjj"
valcoins,1514318183674826753,2022-04-13 19:02:44+00:00,@ValCoins Just saw Bitcoin drama haven't bought or sold anything https://t.co/qz68vDYHEM
valcoins,1514265762697195520,2022-04-13 15:34:26+00:00,@ValCoins Best strategy is never run after any thing in lfe. Keep accumulating in every dip. Thats how u make a solid investment portfolio. Rest make short term trades according to #bitcoin price action. Lke ryt now its good so have long short term trades in good #alts
valcoins,1514239109329731588,2022-04-13 13:48:31+00:00,@ValCoins So this time coffee pumping btc ?🤓🤓
valcoins,1514207386587709440,2022-04-13 11:42:28+00:00,@ValCoins Dxy on strong resistance last time it dumped massively hoping same this time too for btc pump and in end lead to apreen month 🤞🤞
valcoins,1513981879971901441,2022-04-12 20:46:23+00:00,@ValCoins 37k and 35k comng and its not humor #Bitcoin
valcoins,1513977016424738818,2022-04-12 20:27:03+00:00,"@ValCoins Why is #Bitcoin stoopid AF for the past few months just to smell and follow ""some butt""

When #Bitcoin were in China and Japan, respect given to the boss

LMFAO"
valcoins,1513961454365380610,2022-04-12 19:25:13+00:00,"@ValCoins One thing which really helped me with longing ALT is to enter only when BTC trades above its Daily 21EMA and maintain some kind of bullish momentum.

I cannot tell you how many times i got chopped and lose when it is below and not doing anything. https://t.co/HtzGAFX1sh"
valcoins,1513959015998541835,2022-04-12 19:15:32+00:00,@ValCoins Btc 40k support holding like .. https://t.co/UYNyiZyJ1b
valcoins,1513876013150883842,2022-04-12 13:45:42+00:00,@ValCoins Val going to pump this. I don’t like volume on this coin. It dumps very fast with little movement in BTC
