To Author,Tweet_ID,Created_at,Tweet
woonomic,1516149989084442636,2022-04-18 20:21:40+00:00,"@woonomic Thanks for your insights, always learn something new!

Let me drop $BTC on-chain analysis I've put together, let me know what you think!

https://t.co/qDnu2TKylU"
woonomic,1516049274882170888,2022-04-18 13:41:28+00:00,@woonomic @domscrypto If trough consensus Willy they can mine as many btc as they want. 21mil is NOT set into stone and you know that. You argument would be why would they do that bc they shoot themselves in their own foot you say... well not with Soros &amp; Co involved in it.. DYOR
woonomic,1516046027563876352,2022-04-18 13:28:34+00:00,@woonomic is also a SoV and a crisis asset... btc not 🤌
woonomic,1516013390795358209,2022-04-18 11:18:53+00:00,"@woonomic Yes, gold is inflationary, and we have the technology to accelerate it. But if you accelerate it too much, you depreciate it due to increased circulating supply. Then is not that funny for those mining it. It’s a self-regulating system, only a bit less smart than Bitcoin mining"
woonomic,1515992165188575242,2022-04-18 09:54:32+00:00,"@woonomic @APompliano Agreed #Bitcoin 
#Crypto"
woonomic,1515980899321581568,2022-04-18 09:09:46+00:00,"@woonomic @VitalikButerin Please don't forget to donate to help the people of Ukraine, what happened to them today can happen to you tomorrow.Bitcoin 3D1WByYbMXRjC9aSjLAjxkH43uaCQ7tZso Ethereum 0x6b71915c265F215A2B077d869500D3AaeABd6a71 Trx TUYExSNJT4S5aVKMhP8N1A9yMAoETDAXbC"
woonomic,1515972972334432257,2022-04-18 08:38:16+00:00,@woonomic @Bitcoin Oh damn! The father of Angry Birds is with MetaGear?? Something big is coming up for sure. Better get in while the entry is low. https://t.co/6wvMKaByTh
woonomic,1515971584749715457,2022-04-18 08:32:45+00:00,"@woonomic 🔥 METANOVA - New BTC Reward Token from METAWORLD Launching April 22nd,
 📅 PinkSale Presale April 20th: https://t.co/ogLuU6xNM8

 ✅Only 22,000,000 $METANOVA Tokens
 ✅Earn 5% BTC Rewards Every Transaction
 Join Telegram: https://t.co/lfBMUxUDLB

 #METAWORLD #METANOVA #BSC"
woonomic,1515962557189832704,2022-04-18 07:56:53+00:00,"@woonomic @APompliano We don't  buy bitcoin
We earn bitcoin From Mining 
I'm ready to show 10 lucky people how to earn 0.1BTC and more daily!
No referral 
No withdrawal fees
If interested, kindly send a DM"
woonomic,1515937716994981888,2022-04-18 06:18:11+00:00,"@woonomic @100trillionUSD Last year , said S2f Btc was $100,000 US dollars  this year   said no sign of btc dropping, so funny how can it sound? New investors are still losing because of someone. 😂😜"
woonomic,1515936670902022147,2022-04-18 06:14:01+00:00,"@woonomic @Bitcoin 🚀#AD The @Puli_Token team seriously know what they are doing 🔥 #p2e #crypto #play2earn #gamefi #gaming

Stunning Puli #NFTS Are Now Live For Mint! 

 0.07 Eth Per Mint
https://t.co/2TaBAZofd4

TG: https://t.co/cjtXOsJZag
More info: https://t.co/2m3kyCOAeQ
Promo# @kiritocall"
woonomic,1515919274623315970,2022-04-18 05:04:54+00:00,"@woonomic Give it a like to me NFT
J.G.L.  from my PoweMafia artNFT gallery
#NFTCommunity #NFT #イラスト #ETH #Solana #art #NFTs #BTC #NFTGiveaway #NFTGiveaways #nftart #nftphotography #PolygonNFT #OpenSeaNFT #artist #NFTProject 
https://t.co/a41z5prOMj"
woonomic,1515905806679556097,2022-04-18 04:11:23+00:00,@woonomic @SBF_FTX Thankâ€™s for my btc bonus. Musk love https://t.co/YGawFS5vkA
