To Author,Tweet_ID,Created_at,Tweet
zhusu,1516069031542939652,2022-04-18 14:59:58+00:00,"@zhusu Can you help me !!! I need financial support. I'm having a hard time looking after my house, can you support me?? 
#Bitcoin   #Etherum #USDT #ElonMusk @elonmusk #Binance @binance"
zhusu,1515709359212404737,2022-04-17 15:10:46+00:00,@zhusu Then Satoshi created #Bitcoin starting in 1995 finishing in 2007 (a few years later) ☺️🤗
zhusu,1515706182933090313,2022-04-17 14:58:09+00:00,"@zhusu Interpretation of the ecological logic of the #AirCash decentralized trading system
 #AirCash #AirChain #AirSwap #binance #BNB #BTC https://t.co/B19Db70JPa"
zhusu,1515679230796996612,2022-04-17 13:11:03+00:00,@zhusu Musk look new coin top year 2022$SHINJIRO  #SHINJIRO #BTC #ETH
zhusu,1515679204096024587,2022-04-17 13:10:56+00:00,@zhusu @ossingerj Musk look new coin top year 2022$SHINJIRO  #SHINJIRO #BTC #ETH
zhusu,1515629767374131203,2022-04-17 09:54:30+00:00,"@zhusu This is from the book that everyone involved in the digital assets economy should read:

""The Sovereign Individual"" 

https://t.co/hBB7yY2ggZ"
zhusu,1515588689040084994,2022-04-17 07:11:16+00:00,"@zhusu @ossingerj Congratulations on AirCoin's first eco-app #AirCash being selected for the Hackathon of Binanchain. #AirCoinDaoLabs will continue to develop more eco-apps to provide more underlying services for blockchain!
#AirCoin
#BNBchain 
#AirSwap
#AirChain
#BTC 
#ETH 
#DeFi 
#crypto 
#BNB"
zhusu,1515556144378486792,2022-04-17 05:01:57+00:00,"@zhusu We don't buy bitcoin
We earn bitcoin From Mining 
I'm ready to show 10 lucky people how to earn 0.1BTC ($4048) and more daily!
No referral 
No withdrawal fees
If interested, kindly send a DM"
zhusu,1515556035326488578,2022-04-17 05:01:31+00:00,"@zhusu @Bitcoin TG: https://t.co/NrBszEEeGG
Web: https://t.co/fJpki55tyv

DogeJet rewards
  Turn $1,000 into $1.5 Million in 12 months.
Fixed APY – 159,402.57%
 Daily Compounding at 2.041%
 We Burn More Coins than any other Rebase Coin
Buy DogeJet on PancakeSwap NOW!!!

#DogeJet #x1000 #355"
zhusu,1515476073743630341,2022-04-16 23:43:46+00:00,"@zhusu @Bitcoin Maneki Inu Is a decentralised finance (DeFi) token available on the Binance Smart Chain (BSC).

🚀🚀 Launch: April 17, 2022
🚀🚀 TIME: 3PM UTC in PANCAKESWAP
 100% 
TG: https://t.co/twpSM7w4v0
Twitter Handle: @Manekiinucoin
 #MINU $MINU #ManekiInu #BSCgem #BSC"
